영화명,감독,배급사,y,개봉일,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
디렉터스 컷,박준범,야간비행,2015,2015-07-02,한국,7,2974000,435,1467000,192,드라마,12세이상관람가,독립/예술영화
쥬라기 월드,콜린 트레보로우,유니버설픽쳐스인터내셔널 코리아(유),2015,2015-06-11,미국,1290,47800698826,5546792,13625824326,1502391,액션,12세이상관람가,일반영화
리틀 보이,알레한드로 몬테베르드,메가박스중앙(주)플러스엠,2015,2015-12-10,미국,143,100778300,14343,29966300,3931,드라마,12세이상관람가,독립/예술영화
나를 미치게 하는 여자,주드 아패토우,유니버설픽쳐스인터내셔널 코리아(유),2015,2015-12-10,미국,161,208570700,27858,107755100,14876,코미디,청소년관람불가,일반영화
디판,자크 오디아르,그린나래미디어(주),2015,2015-10-22,프랑스,30,42933900,5821,33450200,4305,드라마,청소년관람불가,독립/예술영화
사랑이 이긴다,민병훈,(주)리틀빅픽쳐스,2015,2015-09-10,한국,48,114003900,14916,39686100,4988,가족,15세이상관람가,독립/예술영화
운명의 힘,애셔 피쉬,(주)케빈앤컴퍼니,2015,2015-10-24,독일,6,19302000,784,14559000,583,공연,12세이상관람가,일반영화
파우스트,장-루이 마르티노티,에스디시코리아 주식회사,2015,2015-09-09,프랑스,12,15867500,789,8192000,362,공연,12세이상관람가,독립/예술영화
더 로프트 : 비밀의 방,에릭 반 루이,(유)조이앤시네마,2015,2015-10-01,미국,114,39660300,5287,11535300,1524,스릴러,청소년관람불가,일반영화
타투,이서,와이드 릴리즈(주),2015,2015-12-10,한국,133,99263100,12103,31315000,3727,스릴러,청소년관람불가,일반영화
신데렐라,케네스 브래너,월트디즈니컴퍼니코리아(주),2015,2015-03-19,미국,531,5499767900,716386,1654573800,205943,멜로/로맨스,전체관람가,일반영화
어우동: 주인 없는 꽃,이수성,(주)드림팩트엔터테인먼트,2015,2015-01-29,한국,18,60141000,12203,18432000,3018,멜로/로맨스,청소년관람불가,일반영화
솔로몬의 위증 후편: 재판,나루시마 이즈루,(주)엔케이컨텐츠,2015,2015-09-03,일본,3,3590000,430,3164500,379,미스터리,15세이상관람가,독립/예술영화
마님,김광중,골든타이드픽처스(주),2015,2015-08-14,한국,20,4088000,791,836000,167,멜로/로맨스,청소년관람불가,일반영화
이민자,제임스 그레이,주식회사 씨네룩스,2015,2015-09-03,미국,36,115862023,14807,69433323,8385,드라마,15세이상관람가,독립/예술영화
