영화명,감독,배급사,y,개봉일,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
슈퍼 버드,"리카르도 아나이즈,마이크 컨켈,라울 가르시아",와이드 릴리즈(주),2017,2017-04-06,멕시코,288,173938100,24799,28450300,3640,애니메이션,전체관람가,독립/예술영화
더 플랜,최진성,(주)엣나인필름,2017,2017-04-20,한국,156,263526895,34225,126773395,16124,다큐멘터리,15세이상관람가,독립/예술영화
커피 메이트,이현하,(주)스톰픽쳐스코리아,2017,2017-03-01,한국,99,43287000,5361,17973000,2159,멜로/로맨스,청소년관람불가,독립/예술영화
위시 어폰,존 R. 레오네티,(주)이수C&E,2017,2017-07-20,미국,279,434148000,55110,82609500,9910,공포(호러),15세이상관람가,일반영화
로건,제임스 맨골드,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2017,2017-03-01,미국,954,17590962723,2070084,5779445923,655286,액션,청소년관람불가,일반영화
잃어버린 도시 Z,제임스 그레이,(주)영화사 빅,2017,2017-09-21,미국,398,362053440,47088,107823340,13303,액션,12세이상관람가,독립/예술영화
나는 부정한다,믹 잭슨,(주)티캐스트,2017,2017-04-26,영국,104,250925125,31172,173714325,20751,드라마,12세이상관람가,독립/예술영화
빛나는,가와세 나오미,그린나래미디어(주),2017,2017-11-23,일본,53,40173200,5314,29589500,3745,멜로/로맨스,12세이상관람가,독립/예술영화
반지의 제왕 : 두개의 탑 (확장판),피터 잭슨,(주)디스테이션,2017,2017-01-18,뉴질랜드,58,350183800,27440,171901300,13453,판타지,12세이상관람가,일반영화
폴링 스노우,샤밈 샤리프,주식회사 디에스이이디,2017,2017-02-09,영국,22,20078000,2892,15755000,2145,멜로/로맨스,15세이상관람가,독립/예술영화
산상수훈,유영의,"이언픽쳐스,(주)그란",2017,2017-12-07,한국,71,408105790,54004,139065190,18131,드라마,전체관람가,독립/예술영화
걸 온 더 트레인,테이트 테일러,(주)씨제이이엔엠,2017,2017-03-09,미국,331,215124500,27840,72744600,9040,드라마,청소년관람불가,일반영화
스페이스 비트윈 어스,피터 첼섬,(주)키다리이엔티,2017,2017-03-16,미국,370,213149361,27847,78591861,9973,어드벤처,12세이상관람가,독립/예술영화
키드냅,루이스 프리에토,(주)제이앤씨미디어그룹,2017,2017-11-22,미국,167,214871800,27854,74933600,9489,액션,15세이상관람가,독립/예술영화
맨체스터 바이 더 씨,케네스 로너건,THE 픽쳐스,2017,2017-02-15,미국,109,431623800,53779,254824600,30655,드라마,15세이상관람가,독립/예술영화
박열,이준익,메가박스중앙(주)플러스엠,2017,2017-06-28,한국,1176,18093543795,2359174,4921077395,623230,드라마,12세이상관람가,일반영화
튤립 피버,저스틴 채드윅,(주)팝엔터테인먼트,2017,2017-12-14,영국,359,425521049,53121,183860049,22677,드라마,청소년관람불가,독립/예술영화
재심,김태윤,"오퍼스픽쳐스(유),CGV아트하우스",2017,2017-02-15,한국,935,19263100637,2420729,4569982837,555767,드라마,15세이상관람가,일반영화
모아나,"론 클레멘츠,존 머스커",월트디즈니컴퍼니코리아 유한책임회사,2017,2017-01-12,미국,953,18055062307,2310054,4735422707,572295,애니메이션,전체관람가,일반영화
혹성탈출: 종의 전쟁,맷 리브스,이십세기폭스코리아(주),2017,2017-08-15,미국,1017,16851234778,2050909,4721118278,538479,액션,12세이상관람가,일반영화
로스트 인 파리,"도미니크 아벨,피오나 고든",그린나래미디어(주),2017,2017-05-18,프랑스,85,215575038,27203,152668838,18578,멜로/로맨스,12세이상관람가,독립/예술영화
밤의 해변에서 혼자,홍상수,"(주)영화제작전원사 ,(주)콘텐츠판다",2017,2017-03-23,한국,133,438976092,56995,275454892,34627,드라마,청소년관람불가,독립/예술영화
아기돼지 3형제와 매직램프,유위,(주)팝엔터테인먼트,2017,2017-03-23,중국,135,208444600,26670,37196000,4578,애니메이션,전체관람가,일반영화
몬스터 섬의 비밀,레오폴도 아귈라,(주)박수엔터테인먼트,2017,2017-09-07,멕시코,150,184568800,26739,30088800,4076,애니메이션,전체관람가,독립/예술영화
재키,파블로 라라인,그린나래미디어(주),2017,2017-01-25,칠레,97,209835243,26758,134730143,16779,드라마,15세이상관람가,독립/예술영화
쇼콜라,로쉬디 젬,판씨네마(주),2017,2017-03-09,프랑스,52,20408000,2757,10772500,1371,드라마,12세이상관람가,독립/예술영화
극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,모리와키 마코토,(주)박수엔터테인먼트,2017,2017-12-28,일본,191,431771300,56539,115053700,14397,애니메이션,전체관람가,일반영화
보스 베이비,톰 맥그라스,(주)씨제이이엔엠,2017,2017-05-03,미국,1116,18918869704,2450023,4724943504,582820,애니메이션,전체관람가,일반영화
파리 투 마르세유: 2주간의 여행,라시드 드자이다니,"(주)디스테이션,(주)브리즈픽처스",2017,2017-09-07,프랑스,33,20947500,2792,16851000,2209,드라마,12세이상관람가,독립/예술영화
래빗 스쿨,우테 폰 뮌쇼폴,예지림엔터테인먼트,2017,2017-11-23,독일,314,401768900,55784,82198100,10411,애니메이션,전체관람가,독립/예술영화
올 더 뷰티,오스네 보 그레이브로크,(주)마노엔터테인먼트,2017,2017-11-23,노르웨이,8,4862000,698,3033500,431,드라마,청소년관람불가,독립/예술영화
당신과 함께한 순간들,마이클 알메레이다,"(주)싸이더스,아이 엠",2017,2017-10-19,미국,27,40971300,5433,30951800,3884,드라마,15세이상관람가,독립/예술영화
풀 스피드,니콜라스 베나무,(주)스마일이엔티,2017,2017-08-24,프랑스,8,4302100,570,3303300,412,코미디,15세이상관람가,독립/예술영화
구세주: 리턴즈,송창용,(주)박수엔터테인먼트,2017,2017-09-14,한국,124,39997000,5401,10563000,1347,코미디,15세이상관람가,일반영화
프리 파이어,벤 휘틀리,(주)영화사오원,2017,2017-12-07,프랑스,11,5057500,662,3509500,449,액션,청소년관람불가,독립/예술영화
지니어스,마이클 그랜다지,(주)라이크콘텐츠,2017,2017-04-13,영국,172,209372437,27167,124198137,15610,드라마,12세이상관람가,독립/예술영화
우리를 침범하는 것들,아담 스미스,그린나래미디어(주),2017,2017-07-20,영국,56,36978100,4958,26185000,3364,액션,15세이상관람가,독립/예술영화
분장,남연우,무브먼트,2017,2017-09-27,한국,17,20242300,2737,15855500,2017,드라마,15세이상관람가,독립/예술영화
마리안느와 마가렛,윤세영,(주)팝엔터테인먼트,2017,2017-04-20,한국,64,195549400,28016,33199700,4431,다큐멘터리,전체관람가,독립/예술영화
살인자의 기억법 : 새로운 기억,원신연,(주)쇼박스,2017,2017-11-01,한국,24,19563000,2958,9579500,1379,범죄,청소년관람불가,일반영화
파울라,크리스찬 슈뵈초브,(주)라이크콘텐츠,2017,2017-11-09,독일,22,23578200,3091,15002100,1898,드라마,15세이상관람가,독립/예술영화
데스노트: 더 뉴 월드,사토 신스케,(주)디스테이션,2017,2017-03-29,일본,309,220886363,28723,80445063,10121,범죄,15세이상관람가,일반영화
가을 우체국,임왕태,(주)에스와이코마드,2017,2017-10-19,한국,74,23270700,3099,14316900,1792,멜로/로맨스,12세이상관람가,독립/예술영화
리빙보이 인 뉴욕,마크 웹,주식회사 더쿱,2017,2017-11-09,미국,158,239323800,29217,119275800,14234,멜로/로맨스,15세이상관람가,독립/예술영화
"나의 사랑, 그리스",크리스토퍼 파파칼리아티스,(주)팝엔터테인먼트,2017,2017-04-20,그리스,123,241875000,30181,151997100,18236,드라마,15세이상관람가,독립/예술영화
완벽한 거짓말,얀 고즐런,주식회사 디에스이이디,2017,2017-08-24,프랑스,21,22442600,3112,14879500,1990,스릴러,15세이상관람가,독립/예술영화
역모-반란의 시대,김홍선,(주)스톰픽쳐스코리아,2017,2017-11-23,한국,355,212967300,29294,65901800,8430,사극,15세이상관람가,일반영화
장산범,허정,(주)넥스트엔터테인먼트월드(NEW),2017,2017-08-17,한국,711,10332117083,1305145,2153814083,257679,미스터리,15세이상관람가,일반영화
파리 시청 앞에서의 키스: 로베르 두아노,클레망틴 드루디유,(주)영화사 진진,2017,2017-08-24,프랑스,17,23713797,3200,17288397,2178,다큐멘터리,전체관람가,독립/예술영화
너브,"헨리 유스트,아리엘 슐만",(주)박수엔터테인먼트,2017,2017-01-11,미국,151,239275800,29441,67132300,8103,어드벤처,15세이상관람가,일반영화
매기스 플랜,레베카 밀러,오드,2017,2017-01-25,미국,94,382361800,47668,258221100,31084,코미디,15세이상관람가,독립/예술영화
미스 슬로운,존 매든,(주)메인타이틀픽쳐스,2017,2017-03-29,미국,104,381394300,48051,199557400,24714,드라마,15세이상관람가,독립/예술영화
노래로 쏘아 올린 기적,하니 아부 아사드,"(주)올댓시네마 플러스,(주)미로스페이스",2017,2017-08-17,팔레스타인,13,20481200,3182,13112200,1836,드라마,12세이상관람가,독립/예술영화
빌로우 허,에이프릴 뮬렌,(주)디스테이션,2017,2017-09-21,캐나다,65,41539900,5056,24369000,2896,드라마,청소년관람불가,독립/예술영화
원더 우먼,팻티 젠킨스,워너브러더스 코리아(주),2017,2017-05-31,미국,1034,17468588886,2165401,5360314986,639541,액션,12세이상관람가,일반영화
뮤지컬 홀리데이 인,데이빗 혼,C 무비,2017,2017-12-20,미국,10,5368900,676,4263400,557,공연,전체관람가,일반영화
해빙,이수연,롯데쇼핑㈜롯데엔터테인먼트,2017,2017-03-01,한국,915,9879737822,1201576,2434113422,284100,스릴러,15세이상관람가,일반영화
에이리언: 커버넌트,리들리 스콧,이십세기폭스코리아(주),2017,2017-05-09,미국,841,10745826264,1307226,3395853714,396001,SF,15세이상관람가,일반영화
언더더씨,에반 트라멜,(주)팝엔터테인먼트,2017,2017-06-22,미국,163,382413600,49958,69088400,8765,애니메이션,전체관람가,일반영화
파란나비효과,박문칠,(주)인디플러그,2017,2017-06-22,한국,41,34617100,4980,18860500,2508,다큐멘터리,12세이상관람가,독립/예술영화
나인스 라이프,알렉산더 아야,(주)라이크콘텐츠,2017,2017-09-07,영국,74,22545500,2964,9996500,1247,미스터리,15세이상관람가,일반영화
단지 세상의 끝,자비에 돌란,(주)엣나인필름,2017,2017-01-18,캐나다,124,242177173,30793,174481073,21079,드라마,15세이상관람가,독립/예술영화
광인옥한흠,김상철,파이오니아21,2017,2017-12-28,한국,18,22537200,2985,6341000,893,다큐멘터리,전체관람가,일반영화
매혹당한 사람들,소피아 코폴라,유니버설픽쳐스인터내셔널 코리아(유),2017,2017-09-06,미국,395,393548500,51867,187653600,23621,스릴러,15세이상관람가,독립/예술영화
파크,세타 나츠키,와이드 릴리즈(주),2017,2017-11-09,일본,31,5120400,679,3366500,430,드라마,전체관람가,독립/예술영화
고려 아리랑: 천산의 디바,김소영,(주)시네마달,2017,2017-05-25,한국,21,22027000,3260,12368700,1654,다큐멘터리,전체관람가,독립/예술영화
안녕 히어로,한영희,(주)시네마달,2017,2017-09-07,한국,24,30039300,5002,17158500,2629,다큐멘터리,12세이상관람가,독립/예술영화
극장판 암살교실 : 365일의 시간,키시 세이지,(주)박수엔터테인먼트,2017,2017-03-23,일본,98,210398500,28364,52956500,6792,애니메이션,12세이상관람가,일반영화
"좋아해, 너를",이마이즈미 리키야,(주)디오시네마,2017,2017-09-14,일본,101,265102800,30714,133168800,14983,드라마,12세이상관람가,독립/예술영화
겟 아웃,조던 필,유니버설픽쳐스인터내셔널 코리아(유),2017,2017-05-17,미국,945,17431570075,2138146,5334272375,630367,공포(호러),15세이상관람가,일반영화
악녀,정병길,(주)넥스트엔터테인먼트월드(NEW),2017,2017-06-08,한국,685,9730720144,1206917,2546959444,304997,액션,청소년관람불가,일반영화
윈드 리버,테일러 쉐리던,"(주)다자인소프트,(주)유로커뮤니케이션",2017,2017-09-14,미국,330,391358700,50783,159742100,20211,액션,15세이상관람가,독립/예술영화
분노,이상일,메가박스중앙(주)플러스엠,2017,2017-03-30,일본,99,230315537,28567,158224837,19256,스릴러,청소년관람불가,독립/예술영화
반지의 제왕 : 왕의 귀환 (확장판),피터 잭슨,(주)디스테이션,2017,2017-01-25,뉴질랜드,56,370268000,30349,180104400,14774,판타지,12세이상관람가,일반영화
6 웨이 투 다이,나딤 사우마,제인앤유,2017,2017-09-05,미국,1,15285000,3057,15285000,3057,액션,15세이상관람가,일반영화
시크릿 레터,쥬세페 토르나토레,(주)디스테이션,2017,2017-11-23,이탈리아,79,46532500,6056,26717600,3290,드라마,12세이상관람가,독립/예술영화
나의 붉은고래,"양선,장춘",(주)영화사 빅,2017,2017-06-15,중국,390,438539500,57388,138499700,17318,애니메이션,전체관람가,독립/예술영화
배저로와 친구들: 신비한 모험,"라스무스 A. 실버르센,룬 스파안스",와이드 릴리즈(주),2017,2017-10-26,노르웨이,293,177884400,26185,36695500,4753,애니메이션,전체관람가,독립/예술영화
브이아이피,박훈정,워너브러더스 코리아(주),2017,2017-08-23,한국,996,10956621835,1373316,2863320535,345963,범죄,청소년관람불가,일반영화
벤딩 디 아크: 세상을 바꾸는 힘,"키프 데이비슨,페드로 코스",CGV아트하우스,2017,2017-11-09,미국,45,24142600,3472,10403700,1377,다큐멘터리,전체관람가,독립/예술영화
애나벨 : 인형의 주인,데이비드 F. 샌드버그,워너브러더스 코리아(주),2017,2017-08-10,미국,1006,15526858738,1934192,3970570338,472569,공포(호러),15세이상관람가,일반영화
파리의 밤이 열리면,에두아르 바에르,찬란,2017,2017-06-22,프랑스,28,43120600,5877,33713500,4415,코미디,12세이상관람가,독립/예술영화
리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국,제이미 미첼,월트디즈니컴퍼니코리아 유한책임회사,2017,2017-04-13,미국,149,317454000,45484,82872000,11129,애니메이션,전체관람가,일반영화
패트리어트 데이,피터 버그,(주)이수C&E,2017,2017-04-06,미국,375,521471618,66074,173633018,21365,드라마,15세이상관람가,일반영화
마음이 외치고 싶어해,쿠마자와 나오토,(주)스마일이엔티,2017,2017-12-07,일본,99,43060100,5849,23618300,3044,드라마,12세이상관람가,독립/예술영화
재꽃,박석영,딥 포커스,2017,2017-07-06,한국,35,35089000,4762,21776900,2666,드라마,12세이상관람가,독립/예술영화
윈드 리버: 감독판,테일러 쉐리던,"(주)다자인소프트,(주)유로커뮤니케이션",2017,2017-09-21,미국,9,26691300,3458,14555300,1931,스릴러,청소년관람불가,독립/예술영화
일주일간 친구,무라카미 쇼스케,노바엔터테인먼트,2017,2017-12-28,일본,30,18679300,2508,9743800,1240,멜로/로맨스,12세이상관람가,독립/예술영화
극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지,타케모토 노보루,(주)넥스트엔터테인먼트월드(NEW),2017,2017-11-09,일본,370,501257700,65895,113064100,13908,액션,전체관람가,일반영화
벨과 세바스찬 계속되는 모험,크리스찬 두가이,C 무비,2017,2017-08-10,프랑스,38,26194300,3450,12421000,1554,드라마,전체관람가,독립/예술영화
정원을 그리다 : 모네에서 마티스까지,데이비드 비커스태프,메가박스중앙(주),2017,2017-10-26,영국,25,36375500,3441,21972500,2158,다큐멘터리,전체관람가,일반영화
더 크리스마스,티모시 렉카트,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017,2017-12-21,미국,158,486356000,65460,112309200,14438,애니메이션,전체관람가,일반영화
패터슨,짐 자무쉬,그린나래미디어(주),2017,2017-12-21,프랑스,62,537321900,65147,403594600,47143,드라마,12세이상관람가,독립/예술영화
트랜스포머: 최후의 기사,마이클 베이,롯데쇼핑㈜롯데엔터테인먼트,2017,2017-06-21,미국,1739,21501959228,2614601,5273073728,609345,액션,12세이상관람가,일반영화
"무현, 두 도시 이야기 : 파이널 컷",전인환,㈜인디스토리,2017,2017-08-30,한국,103,24499000,3431,10997500,1451,다큐멘터리,15세이상관람가,독립/예술영화
해피 데스데이,크리스토퍼 랜던,유니버설픽쳐스인터내셔널 코리아(유),2017,2017-11-08,미국,714,11003095402,1382480,3024232752,365202,공포(호러),15세이상관람가,일반영화
댄서,스티븐 캔터,(주)엣나인필름,2017,2017-04-13,영국,43,361971049,44750,268663049,32076,다큐멘터리,15세이상관람가,독립/예술영화
오텔로,크리스티안 틸레만,(주)케빈앤컴퍼니,2017,2017-04-16,독일,7,15388500,641,10840500,453,공연,12세이상관람가,일반영화
아기와 나,손태겸,CGV아트하우스,2017,2017-11-23,한국,62,17949800,2356,10957100,1345,드라마,15세이상관람가,독립/예술영화
노무현입니다,이창재,"CGV아트하우스,영화사 풀",2017,2017-05-25,한국,775,14554935612,1854867,3471668912,427607,다큐멘터리,12세이상관람가,일반영화
위 아 엑스,스테판 키작,(주)라이크콘텐츠,2017,2017-05-25,영국,19,39930900,4636,25554300,2826,다큐멘터리,15세이상관람가,독립/예술영화
성 프란치스코,르노 페리,찬란,2017,2017-10-12,프랑스,43,31590200,4638,18430000,2547,드라마,전체관람가,독립/예술영화
메소드,방은진,(주)엣나인필름,2017,2017-11-02,한국,244,200356300,24573,126991700,14793,드라마,15세이상관람가,독립/예술영화
7번째 내가 죽던 날,라이 루소 영,(주)키다리이엔티,2017,2017-05-31,미국,230,259877400,34184,80398600,10255,드라마,15세이상관람가,독립/예술영화
기억의 밤,장항준,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니",2017,2017-11-29,한국,751,10652346660,1387599,2887719160,362973,미스터리,15세이상관람가,일반영화
어메이징 메리,마크 웹,이십세기폭스코리아(주),2017,2017-10-04,미국,61,272826500,33901,148059200,18198,드라마,12세이상관람가,독립/예술영화
지오스톰,"딘 데블린,대니 캐넌",워너브러더스 코리아(주),2017,2017-10-19,미국,854,8480864614,1028384,2098804714,238747,액션,12세이상관람가,일반영화
살인자의 기억법,원신연,(주)쇼박스,2017,2017-09-06,한국,1064,21361479492,2656694,5389419142,643595,범죄,15세이상관람가,일반영화
아메리칸 패스토럴,이완 맥그리거,(주)드림팩트엔터테인먼트,2017,2017-05-25,미국,24,18127900,2412,12395400,1587,가족,15세이상관람가,독립/예술영화
금빛 모자이크 프리티 데이즈,다나카 모토키,(주)퍼스트런,2017,2017-02-16,일본,80,34265500,4709,12120000,1643,애니메이션,전체관람가,일반영화
핀두스 이야기,알리 사마디 아하디,(주)레인메이커필름,2017,2017-11-30,독일,22,17345000,3524,0,0,애니메이션,전체관람가,독립/예술영화
루터,에릭 틸,THE 픽쳐스,2017,2017-10-18,독일,94,205455300,29710,98473100,14270,드라마,12세이상관람가,독립/예술영화
내가 죽기 전에 가장 듣고 싶은 말,마크 펠링톤,"(주)메인타이틀픽쳐스,주식회사 키위컴퍼니",2017,2017-07-19,미국,154,328678600,44839,142556300,19450,코미디,12세이상관람가,독립/예술영화
"그래, 가족",마대윤,월트디즈니컴퍼니코리아 유한책임회사,2017,2017-02-15,한국,361,350293300,46623,154192600,19381,코미디,12세이상관람가,일반영화
사다코 대 카야코,시라이시 코지,유니버설픽쳐스인터내셔널 코리아(유),2017,2017-01-04,일본,131,201673000,25531,50529000,6308,공포(호러),15세이상관람가,일반영화
하루,조선호,CGV아트하우스,2017,2017-06-15,한국,781,9068009842,1129018,2244976142,270183,스릴러,15세이상관람가,일반영화
특별시민,박인제,(주)쇼박스,2017,2017-04-26,한국,1154,10494768945,1362634,2869531745,360598,드라마,15세이상관람가,일반영화
이룰 수 없는 사랑,로베르 르파주,(주) 인스터 글로벌,2017,2017-03-04,미국,7,15514500,706,11959500,539,공연,전체관람가,일반영화
미스 프레지던트,김재환,(주)인디플러그,2017,2017-10-26,한국,76,37339500,5605,16901500,2304,다큐멘터리,12세이상관람가,독립/예술영화
페기 구겐하임: 아트 애딕트,리사 이모르디노 브릴랜드,에스디시코리아 주식회사,2017,2017-02-09,미국,14,43204200,5605,32270600,3983,다큐멘터리,12세이상관람가,독립/예술영화
빅터 영 페레즈,자크 와니쉐,(주)에이원엔터테인먼트,2017,2017-07-13,프랑스,16,24586000,4846,23869000,4742,드라마,15세이상관람가,독립/예술영화
인생을 애니메이션처럼,로저 로스 윌리엄스,판씨네마(주),2017,2017-09-27,미국,49,24952800,3372,16072000,2110,다큐멘터리,전체관람가,독립/예술영화
부니베어: 로거빅 컴백홈 프로젝트,정량,예지림엔터테인먼트,2017,2017-06-29,중국,277,177914300,25903,28804400,3824,애니메이션,전체관람가,독립/예술영화
아티스트: 다시 태어나다,김경원,(주)콘텐츠판다,2017,2017-03-09,한국,119,42058800,5579,26775000,3421,드라마,15세이상관람가,독립/예술영화
엘리자의 내일,크리스티안 문쥬,(주)영화사 진진,2017,2017-08-10,루마니아,23,34031600,4854,23451300,3131,드라마,15세이상관람가,독립/예술영화
심야식당 2,마츠오카 조지,(주)디스테이션,2017,2017-06-08,일본,235,364773900,46468,179688300,22060,드라마,12세이상관람가,독립/예술영화
조용한 열정,테렌스 데이비스,"주식회사 디에스이이디,(주)로카",2017,2017-11-23,영국,12,36275800,4871,27189700,3341,드라마,12세이상관람가,독립/예술영화
조작된 도시,박광현,(주)씨제이이엔엠,2017,2017-02-09,한국,1019,20119979587,2512572,4696743687,564486,범죄,15세이상관람가,일반영화
투 러버스 앤 베어,킴 누옌,(주)팝엔터테인먼트,2017,2017-03-30,캐나다,73,26655200,3364,17156500,2069,드라마,청소년관람불가,독립/예술영화
마더!,대런 아로노프스키,롯데쇼핑㈜롯데엔터테인먼트,2017,2017-10-19,미국,398,366642382,46469,177160582,22015,드라마,청소년관람불가,일반영화
아이엠 호프맨,나현태,52DAYS FILM,2017,2017-11-16,한국,7,19892000,2724,17143500,2236,다큐멘터리,전체관람가,독립/예술영화
아버지와 이토씨,타나다 유키,와이드 릴리즈(주),2017,2017-04-20,일본,94,42095000,5631,22368500,2898,드라마,12세이상관람가,독립/예술영화
극장판 위 베어 베어스: 곰 브라더스,매니 에르난데스,(주)팝엔터테인먼트,2017,2017-08-24,미국,307,230410600,32021,44667800,5612,애니메이션,전체관람가,일반영화
극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~,고로 사쿠라,"(주)이수C&E,(주)에이원엔터테인먼트",2017,2017-12-14,일본,207,457902700,59375,101580900,12926,애니메이션,전체관람가,일반영화
기적: 그 날의 소비토,카네시게 아츠시,(주)에이원엔터테인먼트,2017,2017-10-19,일본,16,4136500,654,2411500,421,드라마,12세이상관람가,독립/예술영화
매직울프,"안드레이 갈랏,막심 볼코브",(주)박수엔터테인먼트,2017,2017-10-03,러시아,168,199069400,25556,34496200,4360,애니메이션,전체관람가,독립/예술영화
뷰티풀 투모로우,장재혁,씨제이 씨지브이(CJ CGV)(주),2017,2017-10-26,한국,47,552273700,63279,321810000,36802,드라마,12세이상관람가,일반영화
골드,스티븐 개건,CGV아트하우스,2017,2017-03-22,미국,200,195197900,25595,98341700,12604,드라마,15세이상관람가,독립/예술영화
리틀 프린세스 소피아 : 신비한 섬,제이미 미첼,월트디즈니컴퍼니코리아 유한책임회사,2017,2017-09-28,미국,135,441475500,62454,109518000,14532,애니메이션,전체관람가,일반영화
보안관,김형주,롯데쇼핑㈜롯데엔터테인먼트,2017,2017-05-03,한국,1091,20697532509,2571491,4093422209,491530,범죄,15세이상관람가,일반영화
메리 크리스마스 미스터 모,임대형,㈜인디스토리,2017,2017-12-14,한국,31,23963800,3418,16721500,2172,코미디,12세이상관람가,독립/예술영화
극장판 쿠로코의 농구 라스트 게임,타다 슌스케,(주)박수엔터테인먼트,2017,2017-04-27,일본,96,462290000,62393,212659500,27805,애니메이션,12세이상관람가,일반영화
파밍 보이즈,"장세정,변시연,강호준",(주)영화사 진진,2017,2017-07-13,한국,24,17564200,2586,10077500,1369,다큐멘터리,전체관람가,독립/예술영화
미스테리어스 스킨,그렉 아라키,찬란,2017,2017-11-23,미국,33,19650558,2587,16308158,2111,드라마,청소년관람불가,독립/예술영화
붉은 거북,미카엘 두독 드 비트,유니버설픽쳐스인터내셔널 코리아(유),2017,2017-03-11,프랑스,17,6172500,716,4431500,514,애니메이션,전체관람가,일반영화
내 아내와 결혼해 주세요,미야케 요시시게,(주)스마일이엔티,2017,2017-05-18,일본,49,20128000,2600,12139500,1529,멜로/로맨스,전체관람가,독립/예술영화
바람에 젖은 여자,시오타 아키히코,"(주)오렌지옐로우하임,홀리가든",2017,2017-05-25,일본,10,19174000,2602,16085000,2124,코미디,청소년관람불가,독립/예술영화
절벽 위의 트럼펫,한상희,투썸업픽쳐스,2017,2017-03-09,일본,11,5411300,711,3922500,484,판타지,전체관람가,독립/예술영화
바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,다라 오코넬,와이드 릴리즈(주),2017,2017-01-25,영국,145,404919500,60935,109442000,16138,애니메이션,전체관람가,독립/예술영화
미스터 쉐프,엽위민,즐감,2017,2017-08-18,중국,5,3984000,652,3879000,608,드라마,12세이상관람가,독립/예술영화
쇠파리,안철호,(주)영화사 그램,2017,2017-05-25,한국,56,36279100,4836,8904500,1076,범죄,15세이상관람가,독립/예술영화
그들이 진심으로 엮을 때,오기가미 나오코,(주)디스테이션,2017,2017-11-16,일본,55,42120500,5436,26376700,3258,가족,12세이상관람가,독립/예술영화
올드마린보이,진모영,CGV아트하우스,2017,2017-11-02,한국,58,54456800,7312,24920100,3036,다큐멘터리,전체관람가,독립/예술영화
다크타워: 희망의 탑,니콜라이 아르셀,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017,2017-08-23,미국,497,761759275,97017,261769275,31833,액션,15세이상관람가,일반영화
직지코드,"우광훈,데이빗 레드먼",(주)엣나인필름,2017,2017-06-28,한국,39,71169700,10639,38042300,4798,다큐멘터리,전체관람가,독립/예술영화
공각기동대 신극장판,노무라 카즈야,"(주)레인메이커필름,(주)모멘텀엔터테인먼트",2017,2017-04-20,일본,33,10383500,1376,7942000,1002,애니메이션,15세이상관람가,일반영화
아키라,오토모 가츠히로,"(주)삼지애니메이션,(주)에이원엔터테인먼트",2017,2017-08-31,일본,71,86224200,10574,51338000,6214,애니메이션,15세이상관람가,독립/예술영화
링스,하비에르 구티에레즈,(주)다자인소프트,2017,2017-04-06,미국,123,135470800,16199,31997500,3740,공포(호러),15세이상관람가,일반영화
미옥,이안규,(주)키다리이엔티,2017,2017-11-09,한국,635,1897705564,238587,520190864,63596,범죄,청소년관람불가,일반영화
장미의 기사,,(주) 인스터 글로벌,2017,2017-11-04,미국,11,20427000,910,13048500,591,공연,12세이상관람가,일반영화
더 킹,한재림,(주)넥스트엔터테인먼트월드(NEW),2017,2017-01-18,한국,1310,43486078535,5316325,11144618435,1318493,범죄,15세이상관람가,일반영화
어 퍼펙트 데이,페르난도 레온 데 아라노아,(주)마노엔터테인먼트,2017,2017-09-21,스페인,76,73150400,10488,47288400,6500,드라마,15세이상관람가,독립/예술영화
딥씨 챌린지,"존 브루노,앤드류 와이트",(주)영화사오원,2017,2017-11-30,미국,38,9903600,1369,5874600,798,다큐멘터리,전체관람가,독립/예술영화
리버 로드,리루이쥔,주식회사 골든럭,2017,2017-03-30,중국,17,9381100,1388,3053500,459,드라마,전체관람가,독립/예술영화
세일즈맨,아쉬가르 파라디,찬란,2017,2017-05-11,이란,55,79149300,10436,54661000,6913,드라마,15세이상관람가,독립/예술영화
해피 버스데이,요시다 야스히로,(주)티캐스트,2017,2017-09-28,일본,81,82839300,10408,54672700,6472,드라마,전체관람가,독립/예술영화
어느날,이윤기,"오퍼스픽쳐스(유),CGV아트하우스",2017,2017-04-05,한국,532,1827370582,232016,566199082,69068,멜로/로맨스,15세이상관람가,일반영화
빅 배드 폭스,벤자민 레너,(주)스마일이엔티,2017,2017-11-30,프랑스,219,120614100,16340,29164800,3802,애니메이션,전체관람가,독립/예술영화
빅토리아 & 압둘,스티븐 프리어스,유니버설픽쳐스인터내셔널 코리아(유),2017,2017-10-25,미국,144,73487278,10366,38701778,5283,드라마,12세이상관람가,독립/예술영화
동창회의 목적 2,성우진,영화사 인연,2017,2017-09-19,한국,20,2263000,444,542000,109,멜로/로맨스,청소년관람불가,일반영화
