id,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
2854,북 오브 러브,설효로,,(주)퍼스트런,"롯데쇼핑㈜롯데엔터테인먼트,(주)퍼스트런",2016-11-30,개봉영화,장편,중국,96,"58,152,000","7,763","23,817,500","3,105",멜로/로맨스,15세이상관람가,독립/예술영화
2855,최악의 이웃과 사랑에 빠지는 방법,클로비스 코르니악,,"(주)라온콘텐츠앤미디어,(주)킥백",와이드 릴리즈(주),2016-04-07,개봉영화,장편,프랑스,121,"60,963,300","7,750","26,402,500","3,267",멜로/로맨스,12세이상관람가,독립/예술영화
2856,폭스파이어,로랑 캉테,,그린나래미디어(주),그린나래미디어(주),2013-08-22,개봉영화,장편,프랑스,30,"56,081,000","7,730","41,875,000","5,583",드라마,15세이상관람가,독립/예술영화
2857,더 기프트,조엘 에저튼,,(주)미디어로그,메가박스중앙(주)플러스엠,2015-11-05,개봉영화,장편,호주,116,"59,383,748","7,729","20,878,948","2,644",미스터리,15세이상관람가,일반영화
2858,다이노소어 아일랜드,매트 드럼몬드,,"(주)제이앤씨미디어그룹,(주)드림팩트엔터테인먼트",(주)더블앤조이픽쳐스,2017-07-19,개봉영화,장편,호주,120,"56,946,800","7,728","13,891,000","1,830",어드벤처,전체관람가,일반영화
2859,좀비스쿨,김석정,(주)피터팬픽쳐스,,(주)박수엔터테인먼트,2014-09-25,개봉영화,장편,한국,54,"62,432,000","7,721","25,750,500","3,082",공포(호러),청소년관람불가,독립/예술영화
2860,당신을 기다리는 시간,피에로 메시나,,찬란,찬란,2016-01-28,개봉영화,장편,이탈리아,31,"54,831,100","7,660","34,747,700","4,614",드라마,15세이상관람가,독립/예술영화
2861,패트와 매트: 우당탕탕 크리스마스,마렉 베네슈,,그린나래미디어(주),(주)팝엔터테인먼트,2019-11-07,개봉영화,장편,체코,176,"59,675,500","7,657","23,899,520","2,868",애니메이션,전체관람가,독립/예술영화
2862,뱀파이어 아카데미,마크 워터스,,(주)누리픽쳐스,(주)누리픽쳐스,2015-04-09,개봉영화,장편,미국,50,"43,600,500","7,649","22,549,000","3,983",액션,15세이상관람가,일반영화
2863,워리어스 레인보우: 항전의 시작,위덕성,,스크린조이,스크린조이,2014-02-20,개봉영화,장편,대만,5,"5,070,000","7,640","950,000",190,드라마,청소년관람불가,일반영화
